,word,occurrences,percentile,pinyin,definition,back
76,的,772887,1.0,de,aim<br/>clear,<b>de</b><br/>aim<br/>clear
6,我,644065,0.9999894585933548,wǒ,I<br/>me<br/>my,<b>wǒ</b><br/>I<br/>me<br/>my
31,你,544535,0.9999789171867094,nǐ,"you (informal, as opposed to courteous 您[nin2])","<b>nǐ</b><br/>you (informal, as opposed to courteous 您[nin2])"
107,了,532542,0.9999683757800641,le,unofficial variant of 瞭[liao4],<b>le</b><br/>unofficial variant of 瞭[liao4]
60,是,378292,0.9999578343734188,shì,variant of 是[shi4]<br/>(used in given names),<b>shì</b><br/>variant of 是[shi4]<br/>(used in given names)
67,啊,320625,0.9999472929667735,a,"modal particle ending sentence, showing affirmation, approval, or consent","<b>a</b><br/>modal particle ending sentence, showing affirmation, approval, or consent"
106,不,249907,0.9999367515601282,bù,(negative prefix)<br/>not<br/>no,<b>bù</b><br/>(negative prefix)<br/>not<br/>no
16,哈哈,219169,0.9999262101534829,hāhā,(onom.) laughing out loud,<b>hāhā</b><br/>(onom.) laughing out loud
66,好,173661,0.9999156687468376,hǎo,to be fond of<br/>to have a tendency to<br/>to be prone to,<b>hǎo</b><br/>to be fond of<br/>to have a tendency to<br/>to be prone to
79,有,152894,0.9999051273401923,yǒu,to have<br/>there is<br/>there are<br/>to exist<br/>to be,<b>yǒu</b><br/>to have<br/>there is<br/>there are<br/>to exist<br/>to be
53,都,148427,0.999894585933547,dū,capital city<br/>metropolis,<b>dū</b><br/>capital city<br/>metropolis
81,就,140621,0.9998840445269017,jìu,at once<br/>right away<br/>only<br/>just (emphasis)<br/>as early as<br/>already<br/>as soon as<br/>then<br/>in that case<br/>as many as<br/>even if<br/>to approach<br/>to move towards<br/>to undertake<br/>to engage in<br/>to suffer<br/>subjected to<br/>to accomplish<br/>to take advantage of<br/>to go with (of foods)<br/>with regard to<br/>concerning,<b>jìu</b><br/>at once<br/>right away<br/>only<br/>just (emphasis)<br/>as early as<br/>already<br/>as soon as<br/>then<br/>in that case<br/>as many as<br/>even if<br/>to approach<br/>to move towards<br/>to undertake<br/>to engage in<br/>to suffer<br/>subjected to<br/>to accomplish<br/>to take advantage of<br/>to go with (of foods)<br/>with regard to<br/>concerning
148,也,139552,0.9998735031202564,yě,also<br/>too<br/>(in Classical Chinese) final particle implying affirmation,<b>yě</b><br/>also<br/>too<br/>(in Classical Chinese) final particle implying affirmation
84,在,109956,0.9998629617136111,zài,(located) at<br/>(to be) in<br/>to exist<br/>in the middle of doing sth<br/>(indicating an action in progress),<b>zài</b><br/>(located) at<br/>(to be) in<br/>to exist<br/>in the middle of doing sth<br/>(indicating an action in progress)
37,这,106499,0.9998524203069658,zhè,"this<br/>these<br/>(commonly pr. [zhei4] before a classifier, esp. in Beijing)","<b>zhè</b><br/>this<br/>these<br/>(commonly pr. [zhei4] before a classifier, esp. in Beijing)"
69,没,106138,0.9998418789003205,méi,drowned<br/>to end<br/>to die<br/>to inundate,<b>méi</b><br/>drowned<br/>to end<br/>to die<br/>to inundate
26,去,105713,0.9998313374936751,qù,to go<br/>to go to (a place)<br/>(of a time etc) last<br/>just passed<br/>to send<br/>to remove<br/>to get rid of<br/>to reduce<br/>to be apart from in space or time<br/>to die (euphemism)<br/>to play (a part)<br/>(when used either before or after a verb) to go in order to do sth<br/>(after a verb of motion indicates movement away from the speaker)<br/>(used after certain verbs to indicate detachment or separation),<b>qù</b><br/>to go<br/>to go to (a place)<br/>(of a time etc) last<br/>just passed<br/>to send<br/>to remove<br/>to get rid of<br/>to reduce<br/>to be apart from in space or time<br/>to die (euphemism)<br/>to play (a part)<br/>(when used either before or after a verb) to go in order to do sth<br/>(after a verb of motion indicates movement away from the speaker)<br/>(used after certain verbs to indicate detachment or separation)
289,很,104975,0.9998207960870299,hěn,(adverb of degree)<br/>quite<br/>very<br/>awfully,<b>hěn</b><br/>(adverb of degree)<br/>quite<br/>very<br/>awfully
133,人,103292,0.9998102546803845,rén,"man<br/>person<br/>people<br/>CL:個|个[ge4],位[wei4]","<b>rén</b><br/>man<br/>person<br/>people<br/>CL:個|个[ge4],位[wei4]"
63,吧,102406,0.9997997132737393,ba,(modal particle indicating suggestion or surmise)<br/>...right?<br/>...OK?<br/>...I presume.,<b>ba</b><br/>(modal particle indicating suggestion or surmise)<br/>...right?<br/>...OK?<br/>...I presume.
40,要,102357,0.9997891718670939,yào,important<br/>vital<br/>to want<br/>to ask for<br/>will<br/>going to (as future auxiliary)<br/>may<br/>must<br/>(used in a comparison) must be<br/>probably<br/>if,<b>yào</b><br/>important<br/>vital<br/>to want<br/>to ask for<br/>will<br/>going to (as future auxiliary)<br/>may<br/>must<br/>(used in a comparison) must be<br/>probably<br/>if
65,还,101884,0.9997786304604487,huán,to pay back<br/>to return,<b>huán</b><br/>to pay back<br/>to return
232,说,93421,0.9997680890538033,shuō,to speak<br/>to say<br/>to explain<br/>to scold<br/>to tell off<br/>a theory (usually in compounds such as 日心说 heliocentric theory),<b>shuō</b><br/>to speak<br/>to say<br/>to explain<br/>to scold<br/>to tell off<br/>a theory (usually in compounds such as 日心说 heliocentric theory)
195,一,93329,0.9997575476471581,yī,"one<br/>1<br/>single<br/>a (article)<br/>as soon as<br/>entire<br/>whole<br/>all<br/>throughout<br/>""one"" radical in Chinese characters (Kangxi radical 1)<br/>also pr. [yao1] for greater clarity when spelling out numbers digit by digit","<b>yī</b><br/>one<br/>1<br/>single<br/>a (article)<br/>as soon as<br/>entire<br/>whole<br/>all<br/>throughout<br/>""one"" radical in Chinese characters (Kangxi radical 1)<br/>also pr. [yao1] for greater clarity when spelling out numbers digit by digit"
204,那,86280,0.9997470062405127,nà,(archaic) many<br/>beautiful<br/>how<br/>old variant of 挪[nuo2],<b>nà</b><br/>(archaic) many<br/>beautiful<br/>how<br/>old variant of 挪[nuo2]
189,个,82770,0.9997364648338675,gè,variant of 個|个[ge4],<b>gè</b><br/>variant of 個|个[ge4]
73,看,81348,0.9997259234272221,kàn,to see<br/>to look at<br/>to read<br/>to watch<br/>to visit<br/>to call on<br/>to consider<br/>to regard as<br/>to look after<br/>to treat (an illness)<br/>to depend on<br/>to feel (that)<br/>(after verb) to give it a try<br/>Watch out! (for a danger),<b>kàn</b><br/>to see<br/>to look at<br/>to read<br/>to watch<br/>to visit<br/>to call on<br/>to consider<br/>to regard as<br/>to look after<br/>to treat (an illness)<br/>to depend on<br/>to feel (that)<br/>(after verb) to give it a try<br/>Watch out! (for a danger)
29,呢,81001,0.9997153820205769,ní,woolen material,<b>ní</b><br/>woolen material
142,啦,78411,0.9997048406139315,la,"sentence-final particle, contraction of 了啊, indicating exclamation<br/>particle placed after each item in a list of examples","<b>la</b><br/>sentence-final particle, contraction of 了啊, indicating exclamation<br/>particle placed after each item in a list of examples"
129,哈,73885,0.9996942992072863,hā,a Pekinese<br/>a pug<br/>(dialect) to scold,<b>hā</b><br/>a Pekinese<br/>a pug<br/>(dialect) to scold
54,不是,68560,0.9996837578006409,bùshì,no<br/>is not<br/>not,<b>bùshì</b><br/>no<br/>is not<br/>not
49,吃,68547,0.9996732163939956,chī,variant of 吃[chi1],<b>chī</b><br/>variant of 吃[chi1]
92,想,67349,0.9996626749873503,xiǎng,to think<br/>to believe<br/>to suppose<br/>to wish<br/>to want<br/>to miss (feel wistful about the absence of sb or sth),<b>xiǎng</b><br/>to think<br/>to believe<br/>to suppose<br/>to wish<br/>to want<br/>to miss (feel wistful about the absence of sb or sth)
372,吗,66179,0.999652133580705,ma,"(question particle for ""yes-no"" questions)","<b>ma</b><br/>(question particle for ""yes-no"" questions)"
155,太,64990,0.9996415921740597,tài,highest<br/>greatest<br/>too (much)<br/>very<br/>extremely,<b>tài</b><br/>highest<br/>greatest<br/>too (much)<br/>very<br/>extremely
89,来,62954,0.9996310507674144,lái,to come<br/>to arrive<br/>to come round<br/>ever since<br/>next,<b>lái</b><br/>to come<br/>to arrive<br/>to come round<br/>ever since<br/>next
589,什么,61043,0.9996205093607691,shíyāo,what?<br/>who?<br/>something<br/>anything,<b>shíyāo</b><br/>what?<br/>who?<br/>something<br/>anything
120,他,60383,0.9996099679541238,tā,he or him<br/>(used for either sex when the sex is unknown or unimportant)<br/>(used before sb's name for emphasis)<br/>(used as a meaningless mock object)<br/>other<br/>another,<b>tā</b><br/>he or him<br/>(used for either sex when the sex is unknown or unimportant)<br/>(used before sb's name for emphasis)<br/>(used as a meaningless mock object)<br/>other<br/>another
328,我们,59698,0.9995994265474785,wǒmen,we<br/>us<br/>ourselves<br/>our,<b>wǒmen</b><br/>we<br/>us<br/>ourselves<br/>our
93,会,59529,0.9995888851408332,hùi,to balance an account<br/>accountancy<br/>accounting,<b>hùi</b><br/>to balance an account<br/>accountancy<br/>accounting
205,就是,57194,0.9995783437341879,jìushì,(emphasizes that sth is precisely or exactly as stated)<br/>precisely<br/>exactly<br/>even<br/>if<br/>just like<br/>in the same way as,<b>jìushì</b><br/>(emphasizes that sth is precisely or exactly as stated)<br/>precisely<br/>exactly<br/>even<br/>if<br/>just like<br/>in the same way as
316,呀,55100,0.9995678023275426,yā,"(particle equivalent to 啊 after a vowel, expressing surprise or doubt)","<b>yā</b><br/>(particle equivalent to 啊 after a vowel, expressing surprise or doubt)"
687,给,53880,0.9995572609208973,gěi,to supply<br/>to provide,<b>gěi</b><br/>to supply<br/>to provide
71,怎么,53839,0.999546719514252,zěnyāo,variant of 怎麼|怎么[zen3 me5],<b>zěnyāo</b><br/>variant of 怎麼|怎么[zen3 me5]
105,得,53315,0.9995361781076066,dé,to have to<br/>must<br/>ought to<br/>to need to,<b>dé</b><br/>to have to<br/>must<br/>ought to<br/>to need to
12,哦,53249,0.9995256367009614,é,"sentence-final particle that conveys informality, warmth, friendliness or intimacy<br/>may also indicate that one is stating a fact that the other person is not aware of","<b>é</b><br/>sentence-final particle that conveys informality, warmth, friendliness or intimacy<br/>may also indicate that one is stating a fact that the other person is not aware of"
383,这个,51800,0.999515095294316,zhègè,this<br/>this one,<b>zhègè</b><br/>this<br/>this one
110,到,50967,0.9995045538876708,dào,to (a place)<br/>until (a time)<br/>up to<br/>to go<br/>to arrive<br/>(verb complement denoting completion or result of an action),<b>dào</b><br/>to (a place)<br/>until (a time)<br/>up to<br/>to go<br/>to arrive<br/>(verb complement denoting completion or result of an action)
46,么,50758,0.9994940124810254,yāo,variant of 麼|么[me5],<b>yāo</b><br/>variant of 麼|么[me5]
261,多,45865,0.9994834710743802,duō,"many<br/>much<br/>often<br/>a lot of<br/>numerous<br/>more<br/>in excess<br/>how (to what extent)<br/>multi-<br/>Taiwan pr. [duo2] when it means ""how""","<b>duō</b><br/>many<br/>much<br/>often<br/>a lot of<br/>numerous<br/>more<br/>in excess<br/>how (to what extent)<br/>multi-<br/>Taiwan pr. [duo2] when it means ""how"""
87,你们,44534,0.9994729296677348,nǐmen,you (plural),<b>nǐmen</b><br/>you (plural)
542,小,44342,0.9994623882610896,xiǎo,small<br/>tiny<br/>few<br/>young,<b>xiǎo</b><br/>small<br/>tiny<br/>few<br/>young
241,真,44336,0.9994518468544442,zhēn,really<br/>truly<br/>indeed<br/>real<br/>true<br/>genuine,<b>zhēn</b><br/>really<br/>truly<br/>indeed<br/>real<br/>true<br/>genuine
215,嘛,43976,0.999441305447799,ma,modal particle indicating that sth is obvious<br/>particle indicating a pause for emphasis,<b>ma</b><br/>modal particle indicating that sth is obvious<br/>particle indicating a pause for emphasis
213,可以,43762,0.9994307640411536,kěyǐ,can<br/>may<br/>possible<br/>able to<br/>not bad<br/>pretty good,<b>kěyǐ</b><br/>can<br/>may<br/>possible<br/>able to<br/>not bad<br/>pretty good
164,和,42939,0.9994202226345084,hé,old variant of 和[he2]<br/>harmonious,<b>hé</b><br/>old variant of 和[he2]<br/>harmonious
197,没有,42823,0.999409681227863,méiyǒu,haven't<br/>hasn't<br/>doesn't exist<br/>to not have<br/>to not be,<b>méiyǒu</b><br/>haven't<br/>hasn't<br/>doesn't exist<br/>to not have<br/>to not be
360,又,42742,0.9993991398212178,yòu,(once) again<br/>also<br/>both... and...<br/>and yet<br/>(used for emphasis) anyway,<b>yòu</b><br/>(once) again<br/>also<br/>both... and...<br/>and yet<br/>(used for emphasis) anyway
341,现在,41046,0.9993885984145724,xiànzài,now<br/>at present<br/>at the moment<br/>modern<br/>current<br/>nowadays,<b>xiànzài</b><br/>now<br/>at present<br/>at the moment<br/>modern<br/>current<br/>nowadays
96,过,40954,0.9993780570079271,guò,(experienced action marker),<b>guò</b><br/>(experienced action marker)
175,知道,40628,0.9993675156012818,zhīdào,to know<br/>to become aware of<br/>also pr. [zhi1 dao5],<b>zhīdào</b><br/>to know<br/>to become aware of<br/>also pr. [zhi1 dao5]
607,还是,40259,0.9993569741946365,huánshì,or<br/>still<br/>nevertheless<br/>had better,<b>huánshì</b><br/>or<br/>still<br/>nevertheless<br/>had better
423,一个,39981,0.9993464327879912,yīgè,,<b>yīgè</b><br/>
292,喜欢,39812,0.9993358913813459,xǐhuān,to like<br/>to be fond of,<b>xǐhuān</b><br/>to like<br/>to be fond of
285,这么,39329,0.9993253499747006,zhèyāo,so much<br/>this much<br/>how much?<br/>this way<br/>like this,<b>zhèyāo</b><br/>so much<br/>this much<br/>how much?<br/>this way<br/>like this
244,能,38097,0.9993148085680553,néng,can<br/>to be able to<br/>might possibly<br/>ability<br/>(physics) energy,<b>néng</b><br/>can<br/>to be able to<br/>might possibly<br/>ability<br/>(physics) energy
50,点,38053,0.99930426716141,diǎn,point<br/>dot<br/>drop<br/>speck<br/>o'clock<br/>point (in space or time)<br/>to draw a dot<br/>to check on a list<br/>to choose<br/>to order (food in a restaurant)<br/>to touch briefly<br/>to hint<br/>to light<br/>to ignite<br/>to pour a liquid drop by drop<br/>(old) one fifth of a two-hour watch 更[geng1]<br/>dot stroke in Chinese characters<br/>classifier for items,<b>diǎn</b><br/>point<br/>dot<br/>drop<br/>speck<br/>o'clock<br/>point (in space or time)<br/>to draw a dot<br/>to check on a list<br/>to choose<br/>to order (food in a restaurant)<br/>to touch briefly<br/>to hint<br/>to light<br/>to ignite<br/>to pour a liquid drop by drop<br/>(old) one fifth of a two-hour watch 更[geng1]<br/>dot stroke in Chinese characters<br/>classifier for items
257,大,37927,0.9992937257547647,dà,see 大夫[dai4 fu5],<b>dà</b><br/>see 大夫[dai4 fu5]
212,上,37591,0.9992831843481194,shàng,on top<br/>upon<br/>above<br/>upper<br/>previous<br/>first (of multiple parts)<br/>to climb<br/>to get onto<br/>to go up<br/>to attend (class or university),<b>shàng</b><br/>on top<br/>upon<br/>above<br/>upper<br/>previous<br/>first (of multiple parts)<br/>to climb<br/>to get onto<br/>to go up<br/>to attend (class or university)
126,死,36984,0.9992726429414741,sǐ,to die<br/>impassable<br/>uncrossable<br/>inflexible<br/>rigid<br/>extremely<br/>damned,<b>sǐ</b><br/>to die<br/>impassable<br/>uncrossable<br/>inflexible<br/>rigid<br/>extremely<br/>damned
121,做,35975,0.9992621015348289,zuò,to do<br/>to make<br/>to produce<br/>to write<br/>to compose<br/>to act as<br/>to engage in<br/>to hold (a party)<br/>to be<br/>to become<br/>to function (in some capacity)<br/>to serve as<br/>to be used for<br/>to form (a bond or relationship)<br/>to pretend<br/>to feign<br/>to act a part<br/>to put on appearance,<b>zuò</b><br/>to do<br/>to make<br/>to produce<br/>to write<br/>to compose<br/>to act as<br/>to engage in<br/>to hold (a party)<br/>to be<br/>to become<br/>to function (in some capacity)<br/>to serve as<br/>to be used for<br/>to form (a bond or relationship)<br/>to pretend<br/>to feign<br/>to act a part<br/>to put on appearance
266,呵呵,35688,0.9992515601281835,hēhē,(onom.) gentle laughter<br/>chuckle,<b>hēhē</b><br/>(onom.) gentle laughter<br/>chuckle
775,对,34156,0.9992410187215383,dùi,right<br/>correct<br/>couple<br/>pair<br/>towards<br/>at<br/>for<br/>to face<br/>opposite<br/>to treat (sb a certain way)<br/>to match together<br/>to adjust<br/>to fit<br/>to suit<br/>to answer<br/>to reply<br/>classifier: couple,<b>dùi</b><br/>right<br/>correct<br/>couple<br/>pair<br/>towards<br/>at<br/>for<br/>to face<br/>opposite<br/>to treat (sb a certain way)<br/>to match together<br/>to adjust<br/>to fit<br/>to suit<br/>to answer<br/>to reply<br/>classifier: couple
118,被,33289,0.9992304773148929,bèi,quilt<br/>by<br/>(indicates passive-voice clauses)<br/>(literary) to cover<br/>to meet with,<b>bèi</b><br/>quilt<br/>by<br/>(indicates passive-voice clauses)<br/>(literary) to cover<br/>to meet with
179,爱,33285,0.9992199359082476,ài,to love<br/>to be fond of<br/>to like<br/>affection<br/>to be inclined (to do sth)<br/>to tend to (happen),<b>ài</b><br/>to love<br/>to be fond of<br/>to like<br/>affection<br/>to be inclined (to do sth)<br/>to tend to (happen)
226,自己,31961,0.9992093945016023,zìjǐ,oneself<br/>one's own,<b>zìjǐ</b><br/>oneself<br/>one's own
111,时候,31688,0.999198853094957,shíhòu,time<br/>length of time<br/>moment<br/>period,<b>shíhòu</b><br/>time<br/>length of time<br/>moment<br/>period
59,才,31485,0.9991883116883117,cái,a moment ago<br/>just now<br/>(indicating sth happening later than expected)<br/>(preceded by a clause of condition or reason) not until<br/>(followed by a numerical clause) only,<b>cái</b><br/>a moment ago<br/>just now<br/>(indicating sth happening later than expected)<br/>(preceded by a clause of condition or reason) not until<br/>(followed by a numerical clause) only
451,她,31071,0.9991777702816664,tā,she,<b>tā</b><br/>she
42,谢谢,30777,0.9991672288750211,xièxiè,to thank<br/>thanks<br/>thank you,<b>xièxiè</b><br/>to thank<br/>thanks<br/>thank you
97,着,29482,0.9991566874683758,zháo,to wear (clothes)<br/>to contact<br/>to use<br/>to apply,<b>zháo</b><br/>to wear (clothes)<br/>to contact<br/>to use<br/>to apply
522,把,29060,0.9991461460617305,bǎ,handle,<b>bǎ</b><br/>handle
325,这样,28354,0.9991356046550852,zhèyáng,this kind of<br/>so<br/>this way<br/>like this<br/>such,<b>zhèyáng</b><br/>this kind of<br/>so<br/>this way<br/>like this<br/>such
938,哎,27601,0.9991250632484399,āi,hey!<br/>(interjection used to attract attention or to express surprise or disapprobation),<b>āi</b><br/>hey!<br/>(interjection used to attract attention or to express surprise or disapprobation)
64,觉得,27556,0.9991145218417946,juédé,to think<br/>to feel,<b>juédé</b><br/>to think<br/>to feel
277,谁,27540,0.9991039804351493,shúi,who<br/>also pr. [shui2],<b>shúi</b><br/>who<br/>also pr. [shui2]
334,真的,27131,0.999093439028504,zhēnde,,<b>zhēnde</b><br/>
1094,让,26820,0.9990828976218586,ràng,"to yield<br/>to permit<br/>to let sb do sth<br/>to have sb do sth<br/>to make sb (feel sad etc)<br/>by (indicates the agent in a passive clause, like 被[bei4])","<b>ràng</b><br/>to yield<br/>to permit<br/>to let sb do sth<br/>to have sb do sth<br/>to make sb (feel sad etc)<br/>by (indicates the agent in a passive clause, like 被[bei4])"
546,天,26747,0.9990723562152134,tiān,day<br/>sky<br/>heaven,<b>tiān</b><br/>day<br/>sky<br/>heaven
72,叫,26576,0.999061814808568,jiào,variant of 叫[jiao4],<b>jiào</b><br/>variant of 叫[jiao4]
246,跟,26336,0.9990512734019228,gēn,heel<br/>to follow closely<br/>to go with<br/>(of a woman) to marry sb<br/>with<br/>compared with<br/>to<br/>towards<br/>and (joining two nouns),<b>gēn</b><br/>heel<br/>to follow closely<br/>to go with<br/>(of a woman) to marry sb<br/>with<br/>compared with<br/>to<br/>towards<br/>and (joining two nouns)
493,今天,25718,0.9990407319952774,jīntiān,today<br/>at the present<br/>now,<b>jīntiān</b><br/>today<br/>at the present<br/>now
308,别,25344,0.9990301905886322,bié,"to make sb change their ways, opinions etc","<b>bié</b><br/>to make sb change their ways, opinions etc"
296,不错,24969,0.9990196491819868,bùcuò,correct<br/>right<br/>not bad<br/>pretty good,<b>bùcuò</b><br/>correct<br/>right<br/>not bad<br/>pretty good
188,下,24898,0.9990091077753416,xià,"down<br/>downwards<br/>below<br/>lower<br/>later<br/>next (week etc)<br/>second (of two parts)<br/>to decline<br/>to go down<br/>to arrive at (a decision, conclusion etc)<br/>measure word to show the frequency of an action","<b>xià</b><br/>down<br/>downwards<br/>below<br/>lower<br/>later<br/>next (week etc)<br/>second (of two parts)<br/>to decline<br/>to go down<br/>to arrive at (a decision, conclusion etc)<br/>measure word to show the frequency of an action"
1261,啥,23656,0.9989985663686962,shà,dialectal equivalent of 什麼|什么[shen2 me5],<b>shà</b><br/>dialectal equivalent of 什麼|什么[shen2 me5]
813,买,23578,0.998988024962051,mǎi,to buy<br/>to purchase,<b>mǎi</b><br/>to buy<br/>to purchase
117,不要,23371,0.9989774835554056,bùyào,don't!<br/>must not,<b>bùyào</b><br/>don't!<br/>must not
302,那么,23178,0.9989669421487604,nàyāo,like that<br/>in that way<br/>or so<br/>so<br/>so very much<br/>about<br/>in that case,<b>nàyāo</b><br/>like that<br/>in that way<br/>or so<br/>so<br/>so very much<br/>about<br/>in that case
209,最,22757,0.998956400742115,zùi,most<br/>the most<br/>-est (superlative suffix),<b>zùi</b><br/>most<br/>the most<br/>-est (superlative suffix)
7,打,21903,0.9989458593354698,dǎ,to beat<br/>to strike<br/>to hit<br/>to break<br/>to type<br/>to mix up<br/>to build<br/>to fight<br/>to fetch<br/>to make<br/>to tie up<br/>to issue<br/>to shoot<br/>to calculate<br/>to play (a game)<br/>since<br/>from,<b>dǎ</b><br/>to beat<br/>to strike<br/>to hit<br/>to break<br/>to type<br/>to mix up<br/>to build<br/>to fight<br/>to fetch<br/>to make<br/>to tie up<br/>to issue<br/>to shoot<br/>to calculate<br/>to play (a game)<br/>since<br/>from
435,等,21405,0.9989353179288244,děng,class<br/>rank<br/>grade<br/>equal to<br/>same as<br/>to wait for<br/>to await<br/>et cetera<br/>and so on<br/>et al. (and other authors)<br/>after<br/>as soon as<br/>once,<b>děng</b><br/>class<br/>rank<br/>grade<br/>equal to<br/>same as<br/>to wait for<br/>to await<br/>et cetera<br/>and so on<br/>et al. (and other authors)<br/>after<br/>as soon as<br/>once
202,已经,21368,0.9989247765221791,yǐjīng,already,<b>yǐjīng</b><br/>already
386,几,20893,0.9989142351155338,jī,how much<br/>how many<br/>several<br/>a few,<b>jī</b><br/>how much<br/>how many<br/>several<br/>a few
124,出来,20805,0.9989036937088885,chūlái,"(after a verb, indicates coming out, completion of an action, or ability to discern or detect)","<b>chūlái</b><br/>(after a verb, indicates coming out, completion of an action, or ability to discern or detect)"
90,老,20671,0.9988931523022432,lǎo,prefix used before the surname of a person or a numeral indicating the order of birth of the children in a family or to indicate affection or familiarity<br/>old (of people)<br/>venerable (person)<br/>experienced<br/>of long standing<br/>always<br/>all the time<br/>of the past<br/>very<br/>outdated<br/>(of meat etc) tough,<b>lǎo</b><br/>prefix used before the surname of a person or a numeral indicating the order of birth of the children in a family or to indicate affection or familiarity<br/>old (of people)<br/>venerable (person)<br/>experienced<br/>of long standing<br/>always<br/>all the time<br/>of the past<br/>very<br/>outdated<br/>(of meat etc) tough
135,比,20408,0.9988826108955979,bǐ,to associate with<br/>to be near,<b>bǐ</b><br/>to associate with<br/>to be near
238,找,20286,0.9988720694889526,zhǎo,to try to find<br/>to look for<br/>to call on sb<br/>to find<br/>to seek<br/>to return<br/>to give change,<b>zhǎo</b><br/>to try to find<br/>to look for<br/>to call on sb<br/>to find<br/>to seek<br/>to return<br/>to give change
802,哪,20278,0.9988615280823073,nǎ,"which? (interrogative, followed by classifier or numeral-classifier)","<b>nǎ</b><br/>which? (interrogative, followed by classifier or numeral-classifier)"
601,再,20122,0.998850986675662,zài,"again<br/>once more<br/>re-<br/>second<br/>another<br/>then (after sth, and not until then)","<b>zài</b><br/>again<br/>once more<br/>re-<br/>second<br/>another<br/>then (after sth, and not until then)"
280,更,20058,0.9988404452690167,gèng,more<br/>even more<br/>further<br/>still<br/>still more,<b>gèng</b><br/>more<br/>even more<br/>further<br/>still<br/>still more
764,应该,19972,0.9988299038623714,yìnggāi,ought to<br/>should<br/>must,<b>yìnggāi</b><br/>ought to<br/>should<br/>must
1493,嗯,19841,0.9988193624557261,嗯,"interjection indicating approval, appreciation or agreement","<b>嗯</b><br/>interjection indicating approval, appreciation or agreement"
1240,那个,19832,0.9988088210490808,nàgè,that one<br/>also pr. [nei4 ge5],<b>nàgè</b><br/>that one<br/>also pr. [nei4 ge5]
432,两,19703,0.9987982796424355,liǎng,"two<br/>both<br/>some<br/>a few<br/>tael, unit of weight equal to 50 grams (modern) or 1⁄16 of a catty 斤[jin1] (old)","<b>liǎng</b><br/>two<br/>both<br/>some<br/>a few<br/>tael, unit of weight equal to 50 grams (modern) or 1⁄16 of a catty 斤[jin1] (old)"
481,话,19688,0.9987877382357901,huà,old variant of 話|话[hua4],<b>huà</b><br/>old variant of 話|话[hua4]
366,嘿嘿,19645,0.9987771968291449,hēihēi,(onom.) he he<br/>mischievous laughter,<b>hēihēi</b><br/>(onom.) he he<br/>mischievous laughter
1436,系,19498,0.9987666554224995,xì,to connect<br/>to arrest<br/>to worry,<b>xì</b><br/>to connect<br/>to arrest<br/>to worry
149,快,19497,0.9987561140158543,kuài,rapid<br/>quick<br/>speed<br/>rate<br/>soon<br/>almost<br/>to make haste<br/>clever<br/>sharp (of knives or wits)<br/>forthright<br/>plainspoken<br/>gratified<br/>pleased<br/>pleasant,<b>kuài</b><br/>rapid<br/>quick<br/>speed<br/>rate<br/>soon<br/>almost<br/>to make haste<br/>clever<br/>sharp (of knives or wits)<br/>forthright<br/>plainspoken<br/>gratified<br/>pleased<br/>pleasant
300,唉,19134,0.9987455726092089,āi,alas<br/>oh dear,<b>āi</b><br/>alas<br/>oh dear
2,哥,19073,0.9987350312025637,gē,elder brother,<b>gē</b><br/>elder brother
251,姐,18744,0.9987244897959183,jiě,older sister,<b>jiě</b><br/>older sister
539,起,18495,0.9987139483892731,qǐ,"to rise<br/>to raise<br/>to get up<br/>to set out<br/>to start<br/>to appear<br/>to launch<br/>to initiate (action)<br/>to draft<br/>to establish<br/>to get (from a depot or counter)<br/>verb suffix, to start<br/>starting from (a time, place, price etc)<br/>classifier for occurrences or unpredictable events: case, instance<br/>classifier for groups: batch, group","<b>qǐ</b><br/>to rise<br/>to raise<br/>to get up<br/>to set out<br/>to start<br/>to appear<br/>to launch<br/>to initiate (action)<br/>to draft<br/>to establish<br/>to get (from a depot or counter)<br/>verb suffix, to start<br/>starting from (a time, place, price etc)<br/>classifier for occurrences or unpredictable events: case, instance<br/>classifier for groups: batch, group"
767,信,18394,0.9987034069826277,xìn,letter<br/>mail<br/>CL:封[feng1]<br/>to trust<br/>to believe<br/>to profess faith in<br/>truthful<br/>confidence<br/>trust<br/>at will<br/>at random,<b>xìn</b><br/>letter<br/>mail<br/>CL:封[feng1]<br/>to trust<br/>to believe<br/>to profess faith in<br/>truthful<br/>confidence<br/>trust<br/>at will<br/>at random
68,回来,18312,0.9986928655759825,húilái,to return<br/>to come back,<b>húilái</b><br/>to return<br/>to come back
865,还有,18040,0.9986823241693371,huányǒu,furthermore<br/>in addition<br/>still<br/>also,<b>huányǒu</b><br/>furthermore<br/>in addition<br/>still<br/>also
235,懂,17777,0.9986717827626919,dǒng,to understand<br/>to comprehend,<b>dǒng</b><br/>to understand<br/>to comprehend
48,滴,17772,0.9986612413560465,dī,a drop<br/>to drip,<b>dī</b><br/>a drop<br/>to drip
352,看到,17749,0.9986506999494013,kàndào,,<b>kàndào</b><br/>
227,不会,17698,0.9986401585427559,bùhùi,"improbable<br/>unlikely<br/>will not (act, happen etc)<br/>not able<br/>not having learned to do sth<br/>(coll.) (Tw) don't mention it<br/>not at all","<b>bùhùi</b><br/>improbable<br/>unlikely<br/>will not (act, happen etc)<br/>not able<br/>not having learned to do sth<br/>(coll.) (Tw) don't mention it<br/>not at all"
